Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
VILLA OCEAN VIEW,"200/1, MOLLIGODAWATTA,WADDUWA",143,ONE,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9286243,6.6552759
SHANGRI- LA HOTEL COLOMBO,"NO-01, CENTRE ROAD, GALLE FACE, COLOMBO 02",541,THREE,Colombo,Colombo,Colombo Divisional Secretariat,79.844619,6.928216
PANDANUS BEACH RESORT & SPA,"GALLE ROAD,YALEGAMA,INDURUWA 80510",76,THREE,Galle,Galle,Galle Divisional Secretariat,80.0076288,6.3797342
JETWING LAKE,"WIJEKUMARATHUNGA MAWATHA,YAPAGAMA,DAMBULLA.",94,FOUR,Matale,Matale,Matale Divisional Secretariat,80.6465143,7.839867
THE LAKESIDE AT NUWARAWEWA,"NEW TOWN,ANURADHAPURA",70,TWO,Anuradhapura,Anuradhapura,Anuradhapura East,80.4129173,8.337355
THE SANCTUARY AT TISSAWEWA,"OLD TOWN,ANURADHAPURA",22,TWO,Anuradhapura,Anuradhapura,Anuradhapura East,80.3879227,8.3423584
OZO KANDY,"NO31,SARANANKARA ROAD,KANDY",122,THREE,Kandy,Kandy,Kandy Divisional Secretariat,80.6405117,7.2883697
THE GOLDEN CROWN HOTEL,"322,UDAGAMA,AMPITIYA",63,THREE,Kandy,Gagawata Koralya,Gagawata,80.655418,7.277162
GRAND UDAWALAWE SAFARI RESORT,"NO 912, THANAMALVILA ROAD,UDAWALAWA",57,FOUR,Ratnapura,Udawalawa,Embilipitiya Divisional Secretariat,80.8040993,6.419811
LAVANGA RESORT AND SPA,"GALLE ROAD,PATHUWATHA,HIKKADUWA",20,TWO,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.1175713,6.115437
