Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
RIVER SPLENDOR HOMESTAY,"16 MILE POST,WELLAWAYA ROAD,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.04668,6.868413
LEISURE DREAM INN,"WELLAWAYA ROAD,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.046772,6.870086
RAWANA FALL VIEW,"""SISILA"" WELLAWAYA ROAD,ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.046314,6.870231
WELCOME INN,"""HEMAMALEE"" KITHAL-ELLA,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.045965,6.869021
SERENITY HOMESTAY,"WATERFALL ROAD,WATAGODAWATTA,KITHAL-ELLA,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.044441,6.86814
IDYLL HOMESTAY,"WATAGODAWATTA, KITHALAELLA, ELLA",4,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.0436273,6.8691837
AMBA VILLA,"26/A, NITHULEMADU, RAJAWELLA, DIGANA, KANDY",2,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.7823734,7.255355
MANGO VILLA,"NO-13/129, 3RD LANE, CHANDRA WETTASINGHE MAWATHA, NAWALA, KOSWATTA.",3,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.897213,6.896087
NATURE PARADISE,"ETHULGASHINNA,KITHAL-ELLA,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.083528,6.861187
PADDY FIELD VIEW,"""SAMAN"",WELLAWAYA ROAD,ELLA",5,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.095229,6.867295
THE ONE STAR HOME STAY,"ETHIMALE GEDARA,KITHAL-ELLA,ELLA",1,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.042423,6.870513
7TH HILL,"KIRIMETIYA GEDARA,KITHAL-ELLA,ELLA",3,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.04003,6.868833
VILLAGE VIEW HOME STAY,"ETHULGASHINNA,KITHAL-ELLA,ELLA",3,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.04545,6.871314
SUNRAY HOME STAY,"""SAMAN"" WELLAWAYA ROAD,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.046012,6.870202
AVINKA VILLA,"WALPOLAWATHTHA, TALPE NORTH, UNAWATUNA",3,STANDARD,Galle,Akmeemana,Akmeemana Divisional Secretariat,80.278126,6.000995
ELLA FINALGATE,"DIYAMADITHTHA,KITHAL-ELLA,ELLA",3,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
MORNING LIGHT,"WATAGODAWATTA,KITHAL-ELLA,ELLA",1,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.044952,6.869198
REVERIE HILL BUNGALOW,"40/8D, HILPANKADURA MAWATHA, KANDY",2,SUPERIOR,Kandy,Kandy,Gagawata,80.654138,7.277513
EAGLE LODGE,"EAGLE LODGE, VICTORIA GOLF RESORT, DIGANA",4,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.7742644,7.2650791
TRAVELLERS HOME,"538 (67/11), GOHAGODA ROAD, KATUGASTOTA",2,STANDARD,Kandy,Harispattuwa Pradeshiya Sabha,Harispattuwa Divisional Secretariat,80.623502,7.315674
THE CITY HIDEOUT,"NO 475/19, LAKE CRESCENT, RAJAGIRIYA",5,STANDARD,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,79.888422,6.909424
HARITHA COTTAGE,"60/Q/3 LUMBINI GARDENS LUMBINI MAWATHA,DALUGAMA,KELANIYA",2,SUPERIOR,Gampaha,Kelaniya Pradeshiya Sabha,Mahara Divisional Secretariat,79.919137,6.975736
LOVE IS SWEET COTTAGE,"""SAMANSIRI"" ETHIMALE,KITHAL-ELLA,ELLA",1,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.044138,6.86269
DAWN VIEW HOMESTAY,"ELLA WATERFALL ROAD,ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.052249,6.881556
MY INN GUEST HOUSE,"NO:60, KUDUGALPATHANA, KITHALELLA, ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.044138,6.86269
LEGACY LANKA HOME STAY,"405/4. DIYA ADDARA, ATTANAGALLA",4,SUPERIOR,Gampaha,Attanagalla Pradeshiya Sabha,Attanagalla Divisional Secretariat,NULL,NULL
CINNAMON APARTMENT,"NO 12/B/2/1,WATTALPOLA ROAD, WALANA, PANADURA",2,STANDARD,Kalutara,Panadura,Panadura Divisional Secretariat,79.9067978,6.7287176
SKYLINE MOUNT BUNGALOW,"236/29,SUMMER FIELD SUMMIT, ANGUNAWELA, PERADENIYA",4,DELUXE,Kandy,Udunuwara Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.591459,7.243702
HEAVEN UPON RICE FIELDS,"3/3 A NUWARAVEWA WATHTHA, MIHINTHALA ROAD, JAFFNA JUNCTION, ANURADAPURA.",3,SUPERIOR,Anuradhapura,Anuradhapura,Anuradhapura East,80.5,8.35
NATURE VIEW RESORT,"NO:83/B PAHALA MADAMPALA,KATULANDA,AKARAGAMA",3,STANDARD,Gampaha,Negombo,Divulapitiya Divisional Secretariat,79.957041,7.27348
THE CASTLE OF KANDY,"NO:147/22, DHARMASHOKA MW, LEWELLA, KANDY",4,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.647176,7.301356
CAMBELS LANE FOREST VIEW,"20/17A, 1ST LANE, SIYAMBALAGASTENNA ROAD, KANDY",2,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,80.630684,7.322684
SUGAR VILLA,"NO/18F,PETER MEDIS ROAD,NEGAMBO",5,SUPERIOR,Gampaha,Negombo,Negombo Divisional Secretariat,79.842796,7.227029
JAYAVIMANA,"NO.147/20, DHARMASHOKA MAWATHA, LEWELLA, KANDY",1,STANDARD,Kandy,Kandy,GANGAWATA KORALAYA,80.649138,7.299508
THIAGI INN,"20/B, ATAPATTU ROAD, DEHIWALA",1,SUPERIOR,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,79.880083,6.830118
DILU'S HOMESTAY,"14/21, 1ST CROSS,THIRUCHENDUR, BATTICALOA",2,STANDARD,Batticaloa,Batticaloa,Manmunai North Divisional Secretariat,81.67473,7.730997
GLORIA GUEST ROOMS,"78 MAIN ROAD,KALPITIYA.",3,STANDARD,Puttalam,Kalpitiya Pradeshiya Sabha,Puttalam Divisional Secretariat,79.759614,8.229528
SANUPA VILLA KANDY,"NO. 09 MAHAWELI BREEZE,,MALIGATHENNA GURUDENIYA,,KANDY.",2,SUPERIOR,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,80.703184,7.265038
THAL SEWANA,"37/B, PIDURANGALA TEMPLE ROAD,SIGIRIYA,",4,SUPERIOR,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.76218,7.965655
GRANARY HOME STAY,"NO 80,,PAMUNUWA,,PILIMATALAWA.",4,SUPERIOR,Kandy,Udunuwara Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.572178,7.240107
JUNGLE VILLAGE HOMESTAY,"A-92,,GALPOLA,,MOLAGODA,",1,STANDARD,Kegalle,Rambukkana Pradeshiya Sabha,Rambukkana Divisional Secretariat,80.389404,7.277056
GREAT HOSPITALITY IN HILL COUNTRY,"NO 8/4 A ,,MADDEPATANA,AMPIYIYA",3,STANDARD,Kandy,Kandy,Ganga Ihala Korale Divisional Secretariat,80.66321,7.268636
PARISARE,"97/3,ROSMEAD PLACE,COLOMBO 7",1,STANDARD,Colombo,Colombo,Colombo Divisional Secretariat,79.866084,6.906528
KEVINS VILLA,"36/12,SANGARAJA MAWATHA,KANDY",4,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,80.643254,7.289666
EVERGREEN HOMESTAY,"NO..33,MABLE COORAY MAVATHA,PRIMROSEGARDEN,KANDY",2,SUPERIOR,Kandy,Kandy,GANGAWATA KORALAYA,80.614567,7.281205
RIVORICH RESIDENCE,"NO 8/6, RIVERSIDE GARDEN, SIRIMALWATTA,,GUNNEPANA,KANDY",7,DELUXE,Kandy,Kundasle,Kundasale Divisional Secretariat,80.669273,7.315507
LUMBINI INN,"NO 7,L,PARADISE GARDEN, LEWKE MAWATHA,WAHUGAPITIYA.,,PUSSELLAWA",4,STANDARD,Kandy,Udapalatha,Udapalatha Divisional Secretariat,80.638241,7.110983
KANDY HILL VIEW HOME STAY,"50/10,,UPLANDS,,KANDY.",1,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,80.633726,7.290572
AVAANA BY SPRINGHILLS,"103/2, DOOLWALA,,HALLOLUWA,KANDY",2,STANDARD,Kandy,Harispattuwa Pradeshiya Sabha,Harispattuwa Divisional Secretariat,80.595915,7.311916
OCEAN PEBBLES,"24A,,HILL STREET,,DEHIWELA",3,SUPERIOR,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,79.8665,6.851297
LAKESIDE LODGE KANDY,"36/1,SANGARAJA MAWATHE,KANDY",2,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,80.643209,7.28971
CHAMALKAS HOMESTAY,"67A,CHURCH STREET,FORT GALLE",4,DELUXE,Galle,Galle,Galle Divisional Secretariat,80.216964,6.029135
VILLA ARUNALU KANDY,"NO 383/D ILLUKMODARA ESTATE,THENNEKUMBURA,KANDY",4,DELUXE,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,80.633726,7.290572
GRACE GREEN VILLE HOMESTAY,"414/5,ST. RITA'S ROAD, DALUWAKOTUWA,KOCHCHIKADE",4,DELUXE,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL
SUMMERLAND,"821, MORAVITIYA LANE, BUTHGAMUWA ROAD, GOTHATUWA NEW TOWN ,RAJAGIRIYA",3,STANDARD,Colombo,Kotikawatta Mulleriyawa Pradeshiya Sabha,Kolonnawa Divisional Secretariat,NULL,NULL
