Name,Address,Rooms,District,AGA Division,PS/MC/UC,Logitiute,Latitude
CARDAMON HOTEL NILAVELI,"WARD 2, NILAVELI, TRINCOMALEE",22,Trincomalee,Kuchchaveli,Kuchchaveli Divisional Secretariat,81.1990326,8.6840867
PASSI VILLAS PASSIKUDAH,"NO 12, LAND SIDE, KALKUDAH, PASSIKUDAH",50,Batticaloa,Kalkudha,Koralai Pattu Divisional Secretariat,81.5705004,7.9258409
HOTEL HEAVENS EDGE,"KITALELLA ROAD, KITALELLA, ELLA",24,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,NULL,NULL
VILLA THAWTHISA,"USWATHTHA IHALA, YADDEHIMULLA, UNAWATUNA",23,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.241116,6.011171
JETWING SUNRISE HOTEL,"COCONUT DEVELOPMENT BOARD ROAD, PASSIKUDAH",58,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,NULL,NULL
BEACON BEACH NEGOMBO,"185, PORUTHOTA ROAD, NEGAMBO.",44,Gampaha,Negombo,Negombo Divisional Secretariat,79.8421445,7.2503138
PLATINUM-1,"NO 1, BAGATALLE ROAD, COLOMBO 03",40,Colombo,Colombo,Colombo Divisional Secretariat,79.853385,6.900651
CLUB WASKADUWA BEACH,"211, JAYANTHI MAWATHA, MAHA WASKADUWA NORTH, WASKADUWA",54,Kalutara,Kalutara,Kalutara Divisional Secretariat,79.945675,6.616287
ANANTARA KALUTARA RESORT,"ST. SEBASTIAN'S ROAD, KATUKURUNDA, KALUTARA",141,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.9626948,6.5659178
SIGIRIYA JUNGLES,"AUDANGAWA, KIBISSA, SIGIRIYA",60,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.736974,7.993996
KARUNAKARALA RESORT,"JESUNASARENU ROAD, THOPPUTHOTA, WAIKKALA",17,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,79.859314,7.2713071
ZMAX FAIRWAY COLOMBO,"NO 7, HOSPITAL STREET, COLOMBO 01",181,Colombo,Colombo,Colombo Divisional Secretariat,79.8438746,6.9340366
BLUE MEADOWS-NUWARA ELIYA,"3/11,BAKER'S FARM ROAD, MAHAGASTOTA, NUWARAELIYA",15,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,NULL,80.7916431
GRANDEEZA LUXURY HOTEL &BANQUETS,"772, COLOMBO ROAD, KURANA, NEGOMBO",40,Gampaha,Negombo,Negombo Divisional Secretariat,79.8593549,7.185642
AVENRA GANGARA HOTEL,"J.J. PINTO MAWATHA, NEW ROAD, WENNAPUWA",21,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,79.850688,7.351218
THE BLUE WAVE HOTEL,"THE BLUE WAVE HOTEL ROAD, ARUGAMBAY , POTTUVIL 05",31,Ampara,MC,Pottuvil Divisional Secretariat,81.830049,6.844021
THE RAIN TREE HOTEL,"DEBARAWEWA ESTATE, SANDUNGAMA ROAD, TISSAMAHARAMA",22,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.2773297,6.2852469
ANARVA - SIDDHALEPA,"348, GALLE ROAD, MOUNT LAVINIA",98,Colombo,Colombo,Ratmalana Divisional Secretariat,79.867102,6.833158
MOVENPICK HOTEL COLOMBO,"NO.24 DARMAPALA MAWATHA, COLOMBO 03",219,Colombo,Colombo,Colombo Divisional Secretariat,79.8506874,6.9117582
JETWING COLOMBO SEVEN,"NO 57, WARD PLACE ,COLOMBO 07",108,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
MANDARINA COLOMBO,"433, GALLE ROAD, COLOMBO 03",72,Colombo,Colombo,Thimbirigasyaya Divisional Secretariat,79.853611,6.900092
JIE JIE BEACH BY JETWING,"NO.150,SAMUDRA MAWATHA,UYANKALEWATTA,PANADURA",180,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.906137,6.70343
R DEGREES HOTEL,"NO 457,GALLE ROAD,AMBALANGODA.",10,Galle,MC,Ambalangoda Divisional Secretariat,80.048715,6.243021
SEEROCK THE KINGS DOMAIN,"INDIGASWEWA,KIMBISSA.SIGIRIYA",12,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.746197,7.991713
AMARI GALLE,"523C-446,COLOMBO ROAD,GINTHOTA,GALLE.",172,Galle,Galle,Galle Divisional Secretariat,80.181293,6.052113
VILLA PINNAWALA AND RESTAURANT,"PINNALANDA WATTE,PINNAWALA, RAMBUKKANA",13,Kegalle,Kegalle,Rambukkana Divisional Secretariat,80.385678,7.301624
MARRIOT RESORT & SPA - WELIGAMA BAY,"NO. 700, MATARA ROAD, PELANA, WELIGAMA.",200,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.439411,5.973065
THE THINNAI,"NO 86, PALALY ROAD,,THINNAVELI,,JAFFNA",58,Jaffna,Nallur Pradeshiya Sabha,Nallur Divisional Secretariat,80.0239728,9.6871291
ARALIYA GREEN CITY,"NO 01,GRAND HOTEL ROAD,NUWARA ELIYA.",192,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.764482,6.967075
SKYLOFT KANDY,"NO.26, DAZZLING RANGE, THAPODARAMAYA ROAD, HANTANA, KANDY.",18,Kandy,Gagawata Koralya,Gagawata,80.625303,7.273421
HOTEL NIPPON,"123, KUMARANRATNAM ROAD, COLOMBO 02",49,Colombo,Colombo,Colombo Divisional Secretariat,79.8500985,6.9239319
THIDAS ARANA HOTEL,"23RD,MILE POST,BANDIWEWA,POLONNARUWA",11,Polonnaruwa,Thamankaduwa Pradeshiya Sabha,Thamankaduwa Divisional Secretariat,80.9860564,7.9519377
THE GRAND MOUNTAIN HOTEL,"73/1,ROHANA DISSANAYAKE MAWATHA,MC ROAD,MATALE.",86,Matale,Matale,Matale Divisional Secretariat,NULL,NULL
ARIE LAGOON - NEGOMBO,"587,PAMUNUGAMA ROAD,THALAHENA, NEGOMBO",55,Gampaha,Negombo,Negombo Divisional Secretariat,79.8233907,7.1688026
THE VILLAS,"352/4,RATHNAYAKA ROAD,THALPITIYA SOUTH,WADDUWA,,",32,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.923348,6.670724
