Name,Address,Rooms,District,AGA Division,PS/MC/UC,Logitiute,Latitude
HOTEL PICTURESQUE,"NO:503,THEMBILIYANA ESTATE,DEHIOWITA",10,Kegalle,Dehiowita Pradeshiya Sabha,Dehiovita Divisional Secretariat,80.242826,6.965811
PRINCE HOTEL BANDARAWELA,"BADULLA ROAD,BINDUNUWEWA,BANDARAWELA",30,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.009061,6.832354
QUEENS HOTEL,"NO:04,DALADA VEEDIYA,KANDY",67,Kandy,Kandy,Gagawata,80.638068,7.293287
RAMADA KATUNAYAKE,"842,NEGOMBO ROAD,SEEDUWA",56,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.881486,7.111464
PALM GROOVE HOLIDAY INN,"ARUGAMBAY,POTUVIL",23,Ampara,Ampara,Pottuvil Divisional Secretariat,81.828488,6.837743
PALM VILLAGE HOTEL,"262,OLD COLOMBO RD,USWETAKEIYAWA",50,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,79.860648,7.034292
HOTEL RANATHISARA,"NO:51,KANDY RD,NITTAMBUWA",12,Gampaha,Attanagalla Pradeshiya Sabha,Attanagalla Divisional Secretariat,80.096877,7.14695
HOTEL SUDU ARALIYA,"NEWTOWN,POLONNARUWA",104,Polonnaruwa,Polonnaruwa,Thamankaduwa Divisional Secretariat,80.993733,7.923266
HOTEL SUNSET BEACH,"NO.5, CARRON PLACE, LEWIS ROAD,NEGOMBO.",35,Gampaha,Negombo,Negombo Divisional Secretariat,79.839776,7.225328
HOTEL SUISSE,"NO:30,SANGARAJA MAWATHA,KANDY",90,Kandy,Kandy,Gagawata,80.642924,7.288387
TALALLA RETREAT CENTRE,"SAMPAYA HOUSE, TALALLA SOUTH, GANDARA.",32,Matara,Matara,Matara Divisional Secretariat,80.620954,5.943955
SERENE PAVILIONS,"NO20,UPALI MAWATHA,WADDUWA",15,Kalutara,Kalutara Pradeshiya Sabha,Panadura Divisional Secretariat,79.922221,6.671541
AVENRA BEACH HOTEL,"NO 714, NARIGAMA HIKKADUWA",62,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.111157,6.123829
THE PRIVILEGE,"260,SAMANTHARA ROAD,MOLLIGODA,WADDUWA.",25,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.931298,6.653508
SEA GARDEN HOTEL,"ETHUKALA,NEGOMBO",27,Gampaha,Gampaha,Negombo Divisional Secretariat,79.857376,7.265322
THE ROCK,"60,UNIQUE VIEW RD,NUWARAELIYA",10,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.76234,6.963454
SARASA HOTEL,"937 KANDY ROAD,WEDAMULLA,KELANIYA",19,Gampaha,Gampaha,Kelaniya Divisional Secretariat,79.904795,6.968135
SUNSHINE INN,"DALAWELLA,UNAWATUNA",19,Galle,Galle,Galle Divisional Secretariat,NULL,NULL
SANMALI BEACH HOTEL,"BEACH ROAD,MARAWILA",20,Puttalam,Puttalam Pradeshiya Sabha,Mahawa Divisional Secretariat,79.815459,7.41773
ROBINSON HOTEL,"82,TISSA ROAD,KATHARAGAMA",19,Moneragala,Hambantota,Katharagama Divisional Secretariat,81.329274,6.409072
RENUKA CITY HOTEL,"326,GALLE ROAD,COLOMBO 3",40,Colombo,Colombo,Colombo Divisional Secretariat,79.850427,6.908534
THE SWISS RESIDENCE,"NO:23,BAHIRAWAKANDA,KANDY",40,Kandy,Kandy,Gagawata,80.630297,7.297024
VILLA RANMENIKA,"GALLE ROAD, AHUNGALLA.",14,Galle,Galle,Balapitiya Divisional Secretariat,80.034545,6.308305
MICHELLE BOUTIQUE HOTEL,"432,GALLE ROAD,BALAPITIYA",10,Galle,Galle,Galle Divisional Secretariat,80.036511,6.263385
TREE OF LIFE,"YAHALATENNA,BARIGAMA,WERELLAGAMA,KANDY.",43,Kandy,Kandy,Harispattuwa Divisional Secretariat,80.576826,7.319187
CATAMARAN BEACH HOTEL,"NO: 209, LEWIS PLACE, NEGOMBO",46,Gampaha,Jaffna,Negombo Divisional Secretariat,79.84064,7.227908
MADULKELLE TEA & ECO LODGE,"RICHLAND ROAD, MADULKELLE.",11,Kandy,Kandy,Kandy Divisional Secretariat,80.723882,7.393303
THE NATURE RESORT HOTEL,"MEDILLA,TANGALLE",14,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,NULL,NULL
EARLS REEF BERUWALA,"NO. 91/22,MARADANA ROAD,MORAGALLA,BERUWALA.",54,Kalutara,Beruwala Pradeshiya Sabha,Beruwala Divisional Secretariat,79.977927,6.453929
RANNA 212,"KAHANDAMODARA,RANNA,TANGALLE",55,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,NULL,NULL
HOTEL GOODWOOD PLAZA,"CANADA FRIENDSHIP ROAD,KATUNAYAKE.",32,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.881579,7.16576
UGA BAY RESORT & SPA,"COCONUT BOARD ROAD,KALKUDAH,PASSIKUDAH.",48,Batticaloa,Kalkudha,Valaichchenai Divisional Secretariat,81.5593553,7.9267033
SAUNTER PARADISE HOTEL,"TRINCOMALEE ROAD, AWDANGAWA, KIMBISSA, HABARANA",10,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.724123,7.992861
OKRIN HOTEL,"NO 110,DETAGAMUWA,KATHARAGAMA",16,Moneragala,Katharagama,Katharagama Divisional Secretariat,81.324962,6.400263
JAFFNA HERITAGE HOTEL,"NO 195,TEMPLE ROAD,NALLUR,JAFFNA",10,Jaffna,Jaffna,Jaffna Divisional Secretariat,80.028005,9.670882
BUDDIMA SAMUDRA,"PUTTALAM ROAD,NIKAWERATIYA",14,Kurunegala,Nikaweratiya Pradeshiya Sabha,Nikaweratiya Divisional Secretariat,80.124388,7.738671
AMAARA SKY HOTEL,"72/22, A. B. DAMUNUPOLA MAWATHA, KANDY.",12,Kandy,Kandy,Kandy Divisional Secretariat,80.627342,7.292234
HOTEL SOBANA,"KIRIIBBANWEWA, SEVANAGALA, EMBILIPITIYA.",17,Ratnapura,Thanamalwila Pradeshiya Sabha,Sevanagala Divisional Secretariat,80.964044,6.384522
FRESCO WATER VILLA,"FRESCO WATER VILLA (PVT) LTD,SIGIRIYA ROAD,KIMBISSA",36,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.735044,7.945932
JUNGLE BEACH RESORT,"27TH KM POST, PULMUDEI ROAD, KUCHCHAVELI, TRINCOMALEE",48,Trincomalee,Kuchchaveli,Kuchchaveli Divisional Secretariat,81.135534,8.771857
AMAYA BEACH PASSIKUDAH,"NATIONAL HOLIDAY RESORT, PASSIKUDAH, KALKUDAH",126,Batticaloa,Kalkudha,Koralai Pattu Divisional Secretariat,81.569581,7.925952
SUBHAS HOTEL,"49, VICTORIA ROAD, JAFFNA",11,Jaffna,Jaffna,Jaffna Divisional Secretariat,80.016663,9.66635
HOTEL J,"331/1, LEWIS PLACE, NEGOMBO.",35,Gampaha,Negombo,Negombo Divisional Secretariat,79.841109,7.232976
SHELL COAST RESORT PVT LTD,"UVARY,PESALAI,MANNAR",11,Mannar,Jaffna,Jaffna Divisional Secretariat,79.824493,9.028711
THAPROBAN PAVILION RESORT & SPA,"YADDEHIMULLA, UNAWATUNA.",16,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.240417,6.009533
CAMELLIA RESORT & SPA,"AUDANGAWA, KIMBISSA, SIGIRIYA.",60,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.7348373,7.9952951
DUTCH BAY RESORTS,"DUTCH BAY ISLAND,KALPITIYA",17,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.75646,8.274467
GREEN HILL HOTEL,"NO 114, WELLAWAYA ROAD, MONARAGALA",16,Moneragala,Kalmunai,Moneragala Divisional Secretariat,NULL,NULL
ANILANA-EASTERN DEVELOPMENT ENTERPRISES,"NO.14,TOURISM DEVELOPMENT ZONE,PASSIKUDHA,KALKUDHA.",47,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.574945,7.925871
MAGAMPURA ECO VILLAGE RESORT,"KAWANTISSAPURA,KATARAGAMA ROAD,TISSAMAHARAMAYA",18,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,81.322712,6.360924
GARTONS CAPE,"DENUWALA,AHANGAMA.",19,Galle,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.382426,5.965604
OAK RAY TEA BUSH,"PAHALA KADA VEEDIYA,RAMBODA",1,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.695354,7.057137
HOTEL EAST LAGOON,"MUNAI LANE,UPPODAI LAKE ROAD,SINNA UPPODAI,BATICALOA",45,Batticaloa,Batticaloa,Batticaloa Divisional Secretariat,81.704865,7.728728
JETWING YALA,"PALATUPANA,YALA",80,Hambantota,Thissamaharama,Thissamaharama Divisional Secretariat,NULL,NULL
PEARL CITY HOTEL,"NO.17,BAUDDHALOKA MAWATHA,COLOMBO 04.",69,Colombo,Colombo,Colombo Divisional Secretariat,79.855167,6.895633
REEFS EDGE RESORTS,"NO 300,277/4,USWETAKEIYAWA",23,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,79.856054,7.051974
ANANTAYA RESORT & SPA,"KAURKUPONE, BANGADENIYA,CHILAW.",74,Puttalam,AKKARAIPATTU,Akkaraipattu Divisional Secretariat,79.826082,7.634506
MELHEIM RESORT,"LOWER BLACKWOOD,BERAGALA,HAPUTALE",14,Badulla,Haldummulla Pradeshiya Sabha,Haldummulla Divisional Secretariat,80.918766,6.759146
SHINAGAWA BEACH,"NO 30,OLD GURU NIWASA ROAD,BALAPITIYA",26,Galle,balapitiya,Balapitiya Divisional Secretariat,80.038594,6.291066
ALIYA RESORT & SPA,"AUDANGAWA,KIMBISSA,SIGIRIYA.",96,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.7343613,7.9991963
RAJARATA HOTEL,"ROWING CLUB ROAD,ANURADHAPURA.",30,Anuradhapura,Anuradhapura,Anuradhapura East,80.418972,8.330589
PASSI BAY HOTEL,"103,PASSIKUDAH ROAD,PASSIKUDAH,VALACHCHENA.",22,Batticaloa,Batticaloa,Koralai Pattu Divisional Secretariat,81.568689,7.921889
THE LONG BEACH RESORT & SPA,"KOGGALA,HABARADUWA,SRI LANKA.",194,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.319034,5.990802
AVASTA RESORT AND SPA,"NO 92,NIWANTHAKA CHETHIYA ROAD,ANURADHAPURAYA",13,Anuradhapura,Anuradhapura,Anuradhapura East,80.416853,8.3523
PLEDGE 3,"NO:03,ETHTHUKALA,NEGOMBO",14,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.84182656,7.236222401
THE CALM RESORT AND SPA,"NATIONAL HOLIDAY RESORT,PASSIKUDAH",70,Batticaloa,Batticaloa,Valaichchenai Divisional Secretariat,NULL,
UTMT RESORT,"TANGALLE ROAD,BATTHEEGAMA WEST,DIKWELLA",26,Matara,Dickwella,Dickwella Divisional Secretariat,80.6728793,5.9603013
SURIYA LUXURY RESORTS,"KAMMALA,WAIKKAL.",56,Puttalam,Wennappuwa Pradeshiya Sabha,Wennappuwa Divisional Secretariat,79.839145,7.300199
CITRUS WASKADUWA,"427,SAMANTHARA ROAD,KUDA WASKADUWA,WASKADUWA",150,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.8655563,6.9101903
OZO COLOMBO,"NO 36-38,CLIFFORD PLACE,COLOMBO 04.",158,Colombo,Colombo,Colombo Divisional Secretariat,NULL,
THOMPUKANDAM VILLAGE RESORT,"NO 72,ADDAPALAM,NINTHAVUR.",10,Ampara,Ampara,Ninthavur Divisional Secretariat,81.8561523,7.3213613
LIFE AYURVEDA RESORT,"NO:18,RATNAYAKE PLACE,THALPITIYA SOUTH,WADDUWA",19,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.921694,6.673982
ARALIYA GREEN HILLS HOTEL,"NO:10,GLEN FALL ROAD,NUWRA ELIYA",107,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.764481,6.967075
WHISPERING PALMS HOTEL,"GALLE ROAD,YALEGAMA,INDURUWA",30,Galle,Galle,Galle Divisional Secretariat,80.009107,6.384061
MARINA PASSIKUDAH,"NO: 07, COCONUT BOARD ROAD, KALKUDAH, PASSIKUDAH",26,Batticaloa,Kalkudha,Koralai Pattu Divisional Secretariat,81.56346,7.92469
