Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
RIVERPOOL HOLIDAY BUNGALOW,"NO.01, BARANDA COLONY, KATABOOLA-NAWALAPITIYA.",4,STANDARD,Kandy,Pasbage Korale Pradeshiya Sabha,Pasbage Korale Divisional Secretariat,80.584803,7.014959
218 HOLIDAY RESORT,218-KETAWALA-LEWLA(VIA KANDY),3,STANDARD,Kandy,Kandy,Gagawata,80.67853,7.258813
VILLA AMORE MIO BEACH,"GALLE ROAD,HABAKKALA,MAHA INDURUWA,80510",6,SUPERIOR,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.012281,6.365953
I.J. LAKE VIEW HOLIDAY BUNGALOW,"NO.66A, BONAVISTA ROAD, NUWARAELIYA.",3,SUPERIOR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.774988,6.955038
SNOWDROP,"NO.77,ST-JOSEPH MAWATHA,ETTUKALA,NEGOMBO.",5,SUPERIOR,Gampaha,Negombo,Negombo Divisional Secretariat,79.844519,7.241739
SAGALA,"386/1 GALLE ROAD, KALUTHARA NORTH",3,DELUXE,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,NULL,NULL
STRATHDON BUNGALOW,"STRATHDON ESTATE, (HATTON-AWISSAWELLA ROAD), HATTON.",4,DELUXE,Nuwara Eliya,Hatton-Dickoya,Ambagamuwa Divisional Secretariat,NULL,NULL
SRI BEACH,"BEACH ROAD, MUDUKATUWA NORTH, MARAWILA.",4,SUPERIOR,Puttalam,Nattandiya Pradeshiya Sabha,Nattandiya Divisional Secretariat,79.818184,7.407049
SAMUDRA VILLA,"TALIMUDDARA GEWATTA,MATARA ROAD,TALPE.",2,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL
AQUA BEACH,"GURUPOKUNA, HUNGAMA.",4,SUPERIOR,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,NULL,NULL
