Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
ATAPATTU WALAWWA,"35/5, ATAPATTU WALAWWA, LOWER DICKSON ROAD, GALLE",7,DELUXE,Galle,Galle,Galle Divisional Secretariat,80.217628,6.038721
WILWATTE WALAWWA,"WILWATTE WALAWWA, WILWATTE, MIRIGAMA",1,SUPERIOR,Gampaha,mirigama,Mirigama Divisional Secretariat,80.126954,7.242735
