Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
ELPITIYA WALAUWA,"ELPITIYA ESTATE,WELIGALLA.",5,DELUXE,Kandy,Gampola,Gampaha Divisional Secretariat,80.602462,7.190628
BROCKENHURST,"98, WATER FIELD DRIVE, NUWARA ELIYA",4,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.764033,6.981032
BETHANY 101,"101, COLOMBO ROAD, PUTTALAM.",6,DELUXE,Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,79.830405,8.027126
HERONDALE BUNGALOW,"HERONDALE ESTATE, A2 ESTATE - BLOCK 02, NAGASTENNE ROAD, RAMBUKPITIYA, NAWALAPITIYA",4,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
