Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
DUWS WHITE HOUSE,"37/4, BEACH ROAD, MOUNT LAVINIA",10,A,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,79.864697,6.842611
HOTEL EURO LANKA,"29, MILAGIRIYA AVENUE, (MARINE DRIVE), COLOMBO 04",35,A,Colombo,Colombo,Colombo Divisional Secretariat,79.854286,6.888464
THE VILLA DREAM HOLIDAYS,"NO 121,GIRIULLA ROAD,KANDAWALA,KATANA",11,A,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.894835,7.243119
CEYBANK REST NUWARA-ELIYA,"BADULLA ROAD,NUWARA-ELIYA",19,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.766646,6.965541
BOUGAINVILLEA RETREAT,"VICTORIA GOLF & COUNTRY RETREAT,RAJAWELLA,KANDY",19,A,Kandy,Kandy,Kandy Divisional Secretariat,80.775652,7.266985
ROYAL HILLS NUWARA ELIYA,"NO 109,UPPER LAKE ROAD,NESBY HOUSE,NUWARA ELIYA",20,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,NULL,NULL
SORABORA VILLAGE INN,"SORABORA WEWA ROAD,MAHIYANGANAYA",18,B,Badulla,Mahiyanganaya Pradeshiya Sabha,Badulla Divisional Secretariat,80.996546,7.346332
SHOOTERS HOTEL,"NO 55,ST.PETERS ROAD,MORATUWELLA,MORATUWA",5,B,Colombo,Moratuwa,Moratuwa Divisional Secretariat,NULL,NULL
KIRINDA BEACH RESORT,"BEACH ROAD, NIDANGALAWELLA, KIRINDA, YALA",23,A,Hambantota,Hambantota,Thissamaharama Divisional Secretariat,81.325393,6.206688
KK BEACH,"MATARA ROAD, HABARADUWA, GALLE.",6,A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.30158,5.994056
TRIPLE O SIX,"P.O.BOX 0006,BANDARAMULLA,MIRISSA.",21,A,Matara,Weligama Pradeshiya Sabha,Weligama Divisional Secretariat,80.469336,5.941095
SEVEN ELEVEN HOTEL AND RESTAURANT,"154/1,,MININDU MAWATHA,,KESBEWA",14,A,Colombo,Kesbewa,Kesbewa Divisional Secretariat,79.940843,6.797702
CEYLON SEA HOTEL,"NO-26 , VIJAYA ROAD,MEDAKETIYA,TANGALLE",18,A,Hambantota,Tangalle Pradeshiya Sabha,Tangalle Divisional Secretariat,80.799174,6.032124
BALAJI OCEAN VIEW,"MAIN STREET,ARUGAMBAY,POTTUVIL.",20,A,Ampara,Pottuvil,Pottuvil Divisional Secretariat,81.832381,6.839237
BLUE WHALE BEACH RESORT,"KANDAKULIYA,KALPITIYA.",15,A,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.7124594,8.2150047
SAPPHIRE SEAS HOTEL,"SAPPHIRE SEAS HOTEL,GALLE ROAD, PATUWATHA, DODANDUWA,HIKKADUWA",11,A,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.121175,6.116151
SERENDIPITALY HOTEL,"37,GALLE ROAD,AKURALA, AMBALANGODA",5,A,Galle,Ambalangoda,Ambalangoda Divisional Secretariat,80.0606851,6.196545
RANDILI HOTEL,"8 TH CROSS STREET,BORUPANA,RATMALANA",26,A,Colombo,Colombo,Colombo Divisional Secretariat,79.894521,6.818073
THOTUPOLA WILD HOLIDAYS,"NO 70, DELTHARA, PILIYANDALA",11,A,Colombo,Kesbewa,Kesbewa Divisional Secretariat,79.939545,6.803543
SANTANI,"ARATENNA ESTATE,WERAPITIYA,THELDENIYA,KANDY.",20,A,Kandy,Kandy,Medadumbara Divisional Secretariat,80.7381408,7.3577013
AIRPORT CITY HUB HOTEL,"NO 3/C, GANGARAMA ROAD, KOVINNA, ADIAMBALAMA. KATUNAYAKE",22,A,Gampaha,Katana Pradeshiya Sabha,Katana Divisional Secretariat,79.899317,7.179248
OASEY HOTEL AND REATAURANT,"OASEY HOTEL RESTAURANT , GALBADA, INDURUWA.",18,A,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.0057502,6.3870994
THE BEACH HOTEL,"249/15, LEWIS PLACE, BEACH ROAD, NEGOMBO",40,A,Gampaha,Negombo,Negombo Divisional Secretariat,NULL,NULL
TERRACE GREEN HOTEL,"11/A ST. JUDE MAWATHA,ETTUKALA,NEGOMBO",10,A,Gampaha,Negombo,Negombo Divisional Secretariat,79.842909,7.23766
SANDRIANA LAKE VIEW,"NO: 09,,KEERTHI SRI RAJASINGHA MAWATHA,KANDY",15,A,Kandy,Kandy,Kandy Divisional Secretariat,80.6368268,7.2881025
FROZEN VILLA,"FROZEN VILLA,RATHNAPURA ROAD,UDAGAMA, EMBILIPITIYA",12,A,Ratnapura,Embilipitiya,Embilipitiya Divisional Secretariat,80.841212,6.34133
HOTEL CLARION,"NO 103, KANDY ROAD, KIRIBATHGODA",31,A,Gampaha,Kelaniya Pradeshiya Sabha,Gampaha Divisional Secretariat,79.9305473,6.983531
LUSH LIFE VILLA,"TEMPLE ROAD,MEEPAWALA,PODDALA,GALLE.",11,A,Galle,Bope,Bope-Poddala Divisional Secretariat,80.215636,6.113541
MOUNT BREEZE HOTEL,"22/5A,OFF DE SERAM ROAD,MT.LAVINIYA",24,A,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.8610934,6.8405724
ARUGAMBAY ROCCOS,"MAIN SRTEET,ARUGAMBAY,POTTUVIL.",22,B,Ampara,Pottuvil,Pottuvil Divisional Secretariat,81.8289763,6.844204
VIEW360,"5/16A,UPLANDS,KANDY.",8,A,Kandy,Kandy,Gagawata,NULL,NULL
MAOYA RETREAT HOTEL,"PINNAWALA RIVER RANGE(BANGALA WATHTHA),ANDIRIMADA,HIRIWADUNNA,KEGALLE",17,A,Kegalle,Rambukkana Pradeshiya Sabha,Rambukkana Divisional Secretariat,80.3796686,7.3013359
CEYLON CITY HOTEL,"NO. 11,UPATISSA ROAD,COLOMBO 04",37,A,Colombo,Colombo,Colombo Divisional Secretariat,79.853899,6.8897357
WEWA ADDARA,"NO.54, KAYANWALA, SIGIRIYA,,",28,B,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.755848,7.939453
KUMU BEACH,"670/5, DALLE ROAD, WELAGEDARA,BALAPITIYA, GALLE",10,A,Galle,balapitiya,Ambalangoda Divisional Secretariat,80.04036,6.278716
CAMELLIA HILLS,"WILLIAM BUNGALOW,DICKOYA,HATTON, NUWARA ELIYA",5,A,Nuwara Eliya,Ginigathhena,Nuwara Eliya Divisional Secretariat,80.5693959,6.8610278
