Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
TRAVELLERS REST HOME,"13C, BUWANEKABA ROAD, SINGHEPITIYA, GAMPOLA",3,STANDARD,Kandy,Gampola,Kandy Divisional Secretariat,80.5606323,7.1593573
LEISURE INN,"NO 35, KONGASWATTE, MELEGAMA, WADDUWA",3,STANDARD,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,NULL,NULL
AIRPORT NEAR REST,"245/31, CHURCH ROAD, RANAWIRU MAWATHA, LIYANAGEMULLA, SEEDUWA",1,STANDARD,Gampaha,Seeduwa,Katana Divisional Secretariat,79.8752832,7.1366583
AVON VILLA,"NO. 61/30, THUDUWEGODA ROAD, AMARASENA MAWATHA, HIKKADUWA",3,STANDARD,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.100697,6.139111
SAVENRA GARDEN RESORT,"13A, RATHABALAHENA ESTATE, PADUKKA ROAD, GODAGAMA, MEEGODA.",5,SUPERIOR,Colombo,Homagama Pradeshiya Sabha,Homagama Divisional Secretariat,80.0366513,6.8501663
COZY BEDS,"NO 29/ 2A, CHAPEL ROAD, NUGEGODA.",4,SUPERIOR,Colombo,Kotte Muncipal Council,Nugegoda Divisional Secretariat,79.8924142,6.8720807
